,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,30.83,0.0,1,0,12,7,1.25,1,1,1,0,0,202,0,0
1,0,58.67,4.46,1,0,10,3,3.04,1,1,6,0,0,43,560,0
2,0,24.5,0.5,1,0,10,3,1.5,1,0,0,0,0,280,824,0
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,1,0,100,3,0
4,1,20.17,5.625,1,0,12,7,1.71,1,0,0,0,2,120,0,0
5,1,32.08,4.0,1,0,9,7,2.5,1,0,0,1,0,360,0,0
6,1,33.17,1.04,1,0,11,3,6.5,1,0,0,1,0,164,31285,0
7,0,22.92,11.585,1,0,2,7,0.04,1,0,0,0,0,80,1349,0
8,1,54.42,0.5,2,2,8,3,3.96,1,0,0,0,0,180,314,0
9,1,42.5,4.915,2,2,12,7,3.165,1,0,0,1,0,52,1442,0
10,1,22.08,0.83,1,0,1,3,2.165,0,0,0,1,0,128,0,0
11,1,29.92,1.835,1,0,1,3,4.335,1,0,0,0,0,260,200,0
12,0,38.25,6.0,1,0,8,7,1.0,1,0,0,1,0,0,0,0
13,1,48.08,6.04,1,0,8,7,0.04,0,0,0,0,0,0,2690,0
14,0,45.83,10.5,1,0,10,7,5.0,1,1,7,1,0,0,0,0
15,1,36.67,4.415,2,2,8,7,0.25,1,1,10,1,0,320,0,0
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,1,0,396,0,0
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,0,120,245,0
18,1,21.83,0.25,1,0,3,3,0.665,1,0,0,1,0,0,0,0
19,0,19.17,8.585,1,0,2,3,0.75,1,1,7,0,0,96,0,0
20,1,25.0,11.25,1,0,1,7,2.5,1,1,17,0,0,200,1208,0
21,1,23.25,1.0,1,0,1,7,0.835,1,0,0,0,2,300,0,0
22,0,47.75,8.0,1,0,1,7,7.875,1,1,6,1,0,0,1260,0
23,0,27.42,14.5,1,0,13,3,3.085,1,1,1,0,0,120,11,0
